indicator,n_valid,start,end,last_value
IVA_yoy,436,1990-01-31,2026-04-30,4.1
retail_yoy,362,1995-01-31,2026-04-30,0.2
fai_cum,366,1993-02-28,2026-04-30,-12.007
reinv_cum,289,2000-02-29,2026-04-30,-20.138
pmi,256,2005-01-31,2026-04-30,50.3
pmi_neworder,256,2005-01-31,2026-04-30,50.6
pmi_newexport,256,2005-01-31,2026-04-30,50.3
power_yoy,353,1995-01-31,2026-04-30,2.6
ppi_yoy,355,1996-10-31,2026-04-30,2.8
ppirm_yoy,355,1996-10-31,2026-04-30,3.5
pmi_rawprice,256,2005-01-31,2026-04-30,63.7
prod_ic,332,1991-01-31,2026-04-30,33.213
prod_power_equip,407,1990-02-28,2026-04-30,-16.23
steel_crude_key,190,2010-08-31,2026-05-31,-2.54
steel_crude_est,197,2010-01-31,2026-05-31,3.034
steel_rolled_key,133,2015-05-31,2026-05-31,-8.741
steel_pig_key,133,2015-05-31,2026-05-31,-3.398
util_tire_semi,156,2000-11-30,2026-05-31,65.8
util_tire_full,157,2000-11-30,2026-05-31,61.267
util_pet_chip,153,2013-09-30,2026-05-31,76.593
util_asphalt,132,2015-06-30,2026-05-31,16.433
prod_rebar_mill,124,2016-02-29,2026-05-31,-9.446
util_rebar_mill,136,2015-02-28,2026-05-31,40.242
land_area_100,209,2009-01-31,2026-05-31,-2.962
scfi,188,2010-10-31,2026-05-31,29.83
steel_price_idx,257,2004-11-30,2026-05-31,3.409
coal_south_plant,41,2023-01-31,2026-05-31,1.812
coal_key_plant,41,2023-01-31,2026-05-31,0.414
coal_unified_plant,39,2023-01-31,2026-05-31,-10.019
car_retail,123,2016-03-31,2026-05-31,-33.128
car_wholesale,123,2016-03-31,2026-05-31,-23.488
cement_ship,102,2017-12-31,2026-05-31,40.267
mill_run,172,2012-02-29,2026-05-31,40.167
util_poly_loom,152,2013-09-30,2026-05-31,51.727
util_poly,152,2013-09-30,2026-05-31,80.443
bf_tangshan,150,2013-12-31,2026-05-31,95.403
util_pta,153,2013-09-30,2026-05-31,61.71
house_sale_30,185,2011-01-31,2026-05-31,-7.524
bdi,440,1989-10-31,2026-05-31,124.838
nh_index,252,2005-06-30,2026-05-31,28.43
rebar_price,198,2009-12-31,2026-05-31,5.31
cement_price_idx,164,2012-09-30,2026-05-31,-19.559
port_qhd,201,2009-09-30,2026-05-31,16.882
port_cfd,192,2010-06-30,2026-05-31,3.799
port_jt,184,2009-06-30,2026-05-31,18.783
