model,n,RMSE,MAE,ME(bias),DA,MASE,PICP@80,MPIW@80,PICP@95,MPIW@95
LocalLevel,48,7.291029090259278,3.3940660763888886,-0.5557398819444446,0.2978723404255319,0.48964333663214954,0.6458333333333334,4.20732476660059,0.75,6.434547961631407
LocalLevel(剔除1-2月),40,1.3862995307251924,1.06875,-0.24291666666666673,0.3076923076923077,0.5943877551020406,0.75,3.370481220964585,0.85,5.15470620243979
LocalLevel(仅1-2月),8,17.58822046784716,15.020646458333333,-2.119855958333334,0.14285714285714285,,,,,
DFM,48,7.444223450139115,3.668153629049481,0.19217527179426538,0.425531914893617,0.5359437550493595,0.8541666666666666,11.571143410021312,0.875,17.696536724179506
DFM(剔除1-2月),40,1.728717859552873,1.2999669212448413,0.6138429470693685,0.5897435897435898,0.7685590819474749,0.975,11.57033287304834,1.0,17.69529711485135
DFM(仅1-2月),8,17.820113620959923,15.509087168072679,-1.9161631045812482,0.14285714285714285,,,,,
MIDAS_ENet,48,6.719266192588731,4.013740738626217,-1.0319534499397005,0.46808510638297873,0.6652868723107435,0.7916666666666666,9.062443179639402,0.875,13.859810811815303
MIDAS_ENet(剔除1-2月),40,2.4760361077644975,1.997699340957918,-0.6443027975478351,0.4358974358974359,1.6782476135432416,0.95,8.982639771674119,1.0,13.737762031523697
MIDAS_ENet(仅1-2月),8,15.499595316214785,14.093947726967711,-2.970206711899028,0.42857142857142855,,,,,
LightGBM,48,7.017728372682611,3.512625775143558,-0.4279504282740743,0.5106382978723404,0.5142690754952786,0.875,10.730853296910517,0.875,23.006889729855626
LightGBM(剔除1-2月),40,1.7467761963439972,1.3878473708571204,0.007292026772741056,0.5641025641025641,0.8679846046661517,1.0,9.81347614455771,1.0,22.747173170298318
LightGBM(仅1-2月),8,16.740219045041115,14.136517796575747,-2.6041627035081514,0.2857142857142857,,,,,
SARIMA,48,6.410656626738006,3.2075728088305255,0.5666270608588361,0.574468085106383,0.5023881128084093,0.8541666666666666,11.151526777380326,0.8958333333333334,17.054788464178113
SARIMA(剔除1-2月),40,1.6263009802379893,1.2574552288781167,0.57669256459969,0.5641025641025641,0.8541414363620496,1.0,11.165016239476785,1.0,17.07541881615981
SARIMA(仅1-2月),8,15.275956137801137,12.958160708592574,0.516299542154566,0.5714285714285714,,,,,
ENSEMBLE,48,7.291029090259278,3.3940660763888886,-0.5557398819444446,0.2978723404255319,0.48964333663214954,0.8541666666666666,12.440555555555555,0.9791666666666666,14.357222222222221
ENSEMBLE(剔除1-2月),40,1.3862995307251924,1.06875,-0.24291666666666673,0.3076923076923077,0.5943877551020406,0.825,3.5666666666666664,0.975,5.866666666666667
ENSEMBLE(仅1-2月),8,17.58822046784716,15.020646458333333,-2.119855958333334,0.14285714285714285,,,,,
