month,actual,RW,AR,ARX
2021-01-31,25.398571,2.8,3.1228657008839456,3.8366268451343
2021-02-28,35.1,25.398571,21.057671422527548,9.554134949628505
2021-03-31,24.5,35.1,32.984977097962556,27.330779152453566
2021-04-30,20.3,24.5,13.983673630932529,26.077335313444006
2021-05-31,17.8,20.3,15.457268923311721,19.63378292713371
2021-06-30,15.9,17.8,14.382599202328494,13.408567804272831
2021-07-31,14.4,15.9,13.216248225306588,13.15875319611277
2021-08-31,13.1,14.4,12.234496834420183,12.439884586088006
2021-09-30,11.8,13.1,11.316216129977487,12.300640694925695
2021-10-31,10.9,11.8,10.319729104230989,12.699536383446205
2021-11-30,10.1,10.9,9.74399714015529,10.948668451030287
2021-12-31,9.6,10.1,9.154837812975385,7.994357681381878
2022-01-31,3.857957,9.6,8.855276796233392,6.409656523827509
2022-02-28,7.5,3.857957,2.8462518345588044,2.9200793865060257
2022-03-31,6.5,7.5,8.284356904498726,4.743707283937424
2022-04-30,4.0,6.5,6.291952217580843,3.3806621836900326
2022-05-31,3.3,4.0,3.9385468999983204,1.4138981229286873
2022-06-30,3.4,3.3,3.8441459550404753,3.8532919854258045
2022-07-31,3.5,3.4,4.119831093318232,2.1641167799720815
2022-08-31,3.6,3.5,4.188091813007344,1.8053672691995528
2022-09-30,3.9,3.6,4.257153654391934,3.391234536716465
2022-10-31,4.0,3.9,4.536580213493292,2.501183826956446
2022-11-30,3.8,4.0,4.556053165871384,1.9601456710128895
2022-12-31,3.6,3.8,4.313685554143224,1.819721716599079
2023-01-31,-9.793162,3.6,4.148103136620088,-4.775506963777755
2023-02-28,2.4,-9.793162,-7.323025321676816,-7.532391443269153
2023-03-31,3.0,2.4,3.1432152525063786,0.2875719350243564
2023-04-30,3.6,3.0,3.6179395860447907,4.030510415266109
2023-05-31,3.6,3.6,4.09452481190626,6.329276139386138
2023-06-30,3.8,3.6,4.088478260469546,3.619269561707684
2023-07-31,3.8,3.8,4.244040017185383,1.3150692010110454
2023-08-31,3.9,3.8,4.238851261356719,3.230539282432081
2023-09-30,4.0,3.9,4.314507771154921,4.309559538559019
2023-10-31,4.1,4.0,4.390540711978318,3.150307217444206
2023-11-30,4.3,4.1,4.466928156635735,4.735217709492352
2023-12-31,4.6,4.3,4.62434152444251,5.315627477289811
2024-01-31,26.3,4.6,4.8629240929840005,11.560084856273981
2024-02-29,7.0,26.3,22.19013894165378,16.47961207468368
2024-03-31,6.1,7.0,6.765755188493926,13.47607352058252
2024-04-30,6.3,6.1,6.115689825057163,7.925585122005053
2024-05-31,6.2,6.3,6.26045334411084,4.946922568667686
2024-06-30,6.0,6.2,6.188375995560864,8.367042623564387
2024-07-31,5.9,6.0,6.043607864394619,6.771938989658888
2024-08-31,5.8,5.9,5.970776990558856,6.311458023895772
2024-09-30,5.8,5.8,5.897708201289632,6.392514431553437
2024-10-31,5.8,5.8,5.896824992302425,7.877400324617502
2024-11-30,5.8,5.8,5.895957607373571,8.133690461971458
2024-12-31,5.8,5.8,5.895105625010125,6.193832694682575
2025-02-28,5.9,5.8,5.894268638556682,4.038528544855785
2025-03-31,6.5,5.9,5.965835360026688,5.665497726677337
2025-04-30,6.4,6.5,6.399529512375942,3.8904671646101923
2025-05-31,6.3,6.4,6.328019901291619,4.225420363492088
2025-06-30,6.4,6.3,6.256268537349146,6.030712522801815
2025-07-31,6.3,6.4,6.32899116029785,4.436342692640634
2025-08-31,6.2,6.3,6.257235307517508,6.0224794659904575
2025-09-30,6.2,6.2,6.1852483625308325,6.237099072149648
2025-10-31,6.1,6.2,6.185369285877696,5.859174723285322
2025-11-30,6.0,6.1,6.113161637715059,4.785667284483162
2025-12-31,5.9,6.0,6.040735291176768,4.546140069441293
2026-02-28,6.3,5.9,5.968094463013684,16.061698150667713
2026-03-31,6.1,6.3,6.256782392071159,4.0431556113437095
2026-04-30,5.6,6.1,6.1125237296645585,8.46955152055827
